name,region
Papua New Guinea,680fbfe80055693b54898d06
Canada,680fbfe80055693b54898d31
Algeria,680fbfe90055693b54899183
Tunisia,680fbfe90055693b54899183
Morocco,680fbfe90055693b54899183
Egypt,680fbfe90055693b54899183
Libya,680fbfe90055693b54899183
Sudan,680fbfe90055693b54899183
Mexico,680fbfe80055693b54898d31
Fiji,680fbfe80055693b54898d06
Tonga,680fbfe80055693b54898d06
Samoa,680fbfe80055693b54898d06
Vanuatu,680fbfe80055693b54898d06
New Zealand,680fbfe80055693b54898d06
Australia,680fbfe80055693b54898d06
